Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
Администрация Г.О.Г. Кумертау РБ,,Республика Башкортостан,Кумертау г.,Глава: Астахов Олег Анатольевич,adm52@bashkortostan.ru,https://www.admkumertau.ru/ru,(34761) 4-13-27,"453300, г. Кумертау, Ленина, 18"
Администрация ГО Г. Уфа РБ,,Республика Башкортостан,Уфа г.,Глава: Мавлиев Ратмир Рафилович,cityadm@ufacity.info,https://ufacity.info/,(347) 279-05-79,"450098, г. Уфа, пр-кт Октября, 120"
Администрация ГО город Агидель Республики Башкортостан,,Республика Башкортостан,Агидель г.,Глава: Ирназаров Денис Ильдарович,adm43@bashkortostan.ru,"https://agidel.bashkortostan.ru/, https://agidel.bashkortostan.ru/","(34731) 2-73-59, 2-81-16, 2-74-92","452920, г. Агидель, Цветочный бульвар, 2"
Администрация городского округа Город Нефтекамск Республики Башкортостан,,Республика Башкортостан,Нефтекамск г.,Глава: Валидов Эльдар Сергеевич,adm55@bashkortostan.ru,https://neftcity.ru/,"(34783) 4-32-00, 4-32-09","452680, г. Нефтекамск, Комсомольский пр-кт, 25"
Администрация городского округа Город Октябрьский Республики Башкортостан,,Республика Башкортостан,Октябрьский г.,Глава: Пальчинский Алексей Евгеньевич,adm56@bashkortostan.ru,https://oktadm.ru/,(34767) 4-26-26,"452607, г. Октябрьский, Чапаева, 23"
Администрация городского округа Город Сибай Республики Башкортостан,,Республика Башкортостан,Сибай г.,И.о. главы: Озерцов Сергей Вениаминович,adm58@bashkortostan.ru,https://sibay.bashkortostan.ru/,"(34775) 5-28-50, 5-28-89, 5-28-85","453833, г. Сибай, Ленина, 9/1"
Администрация городского округа Город Стерлитамак Республики Башкортостан,,Республика Башкортостан,Стерлитамак г.,Глава: Шаймарданов Эмиль Владиславович,adm59@bashkortostan.ru,https://sterlitamakadm.ru/,"(3473) 25-23-50, 24-24-36","453100, г. Стерлитамак, пр-кт Октября, 32"
Администрация МО Чишминский район РБ,,Республика Башкортостан,Чишминский район,Глава: Мансуров Ришат Анисович,adm41@bashkortostan.ru,https://chishmy.bashkortostan.ru/,"(34797) 2-13-22, 2-06-66","452170, р.п. Чишмы, Кирова, 50"
Администрация МР Абзелиловский район Республики Башкортостан,,Республика Башкортостан,Абзелиловский район,Глава: Нафиков Ильдар Тагирович,adm01@bashkortostan.ru,"https://abzelil.bashkortostan.ru/, https://abzelil.bashkortostan.ru/",(34772) 2-15-10,"453620, с. Аскарово, Ленина, 41"
Администрация МР Альшеевский район Республики Башкортостан,,Республика Башкортостан,Альшеевский район,Глава: Абелгузин Наиль Рашитович,adm02@bashkortostan.ru,https://alshei.bashkortostan.ru/,"(34754) 3-15-88, 3-07-43","452120, с. Раевский, Ленина, 113"
Администрация МР Архангельский район Республики Башкортостан,,Республика Башкортостан,Архангельский район,Глава: Саитгалин Айрат Закирович,adm03@bashkortostan.ru,https://arhangel.bashkortostan.ru/,"(34774) 2-11-38, 2-17-42, 2-12-31","453030, с. Архангельское, Н. Крупской, 2"
Администрация МР Аскинский район Республики Башкортостан,,Республика Башкортостан,Аскинский район,Глава: Юсупов Динис Радисович,adm04@bashkortostan.ru,"https://askino.bashkortostan.ru/, https://askino.bashkortostan.ru/","(34771) 2-17-65, 2-18-52","452880, с. Аскино, Советская, 21"
Администрация МР Аургазинский район Республики Башкортостан,,Республика Башкортостан,Аургазинский район,Глава: Шагаретдинов Арслан Назирович,adm05@bashkortostan.ru,"https://aurgazy.bashkortostan.ru/, https://aurgazy.bashkortostan.ru/","(34745) 2-12-41, 2-12-39","453480, с. Толбазы, Ленина, 84"
Администрация МР Баймакский район Республики Башкортостан,,Республика Башкортостан,Баймакский район,Глава: Идрисов Азамат Сафаргалиевич,adm44@bashkortostan.ru,"https://baimak.bashkortostan.ru/, https://baimak.bashkortostan.ru/","(34751) 3-14-47, 3-10-07","453630, г. Баймак, пр-кт С. Юлаева, 36"
Администрация МР Бакалинский район Республики Башкортостан,,Республика Башкортостан,Бакалинский район,Глава: Ефимов Олег Алексеевич,adm06@bashkortostan.ru,"https://bakaly.bashkortostan.ru/, https://bakaly.bashkortostan.ru/","(34742) 3-17-33, 3-27-35","452650, с. Бакалы, Ленина, 91"
Администрация МР Балтачевский район Республики Башкортостан,,Республика Башкортостан,Балтачевский район,Глава: Субушев Ильгиз Ахвасович,adm07@bashkortostan.ru,https://baltachevo.bashkortostan.ru/,"(34753) 2-19-61, 2-10-65","452980, с. Старобалтачево, Советская, 48"
Администрация МР Белебеевский район РБ,,Республика Башкортостан,Белебеевский район,Глава: Сахабиев Азат Альвертович,"adm45@bashkortostan.ru, 45.ush@bashkortostan.ru","https://belebey-mr.ru/, https://belebey-mr.ru/","(34786) 4-21-62, 4-28-49, (34786) 4-25-52, 4-30-30, 3-51-18, (34786) 3-14-70, (34786) 3-18-68, (34786) 3-18-57, (34786) 3-27-97, (34786) 3-00-55","452005, г. Белебей, Красная, 116"
Администрация МР Белокатайский район РБ,,Республика Башкортостан,Белокатайский район,Глава: Мулланурова Лилия Рамильевна,adm08@bashkortostan.ru,"https://belokatai.bashkortostan.ru/, https://belokatai.bashkortostan.ru/",(34750) 2-16-42,"452580, с. Новобелокатай, Советская, 116"
Администрация МР Белорецкий район Республики Башкортостан,,Республика Башкортостан,Белорецкий район,Врио главы: Галиянова Зульфия Басыровна,adm46@bashkortostan.ru,"https://beloretsk.bashkortostan.ru/, https://beloretsk.bashkortostan.ru/","(34792) 3-20-30, 4-58-48, 3-38-26","453511, г. Белорецк, Ленина, 71"
Администрация МР Бижбулякский район РБ,,Республика Башкортостан,Бижбулякский район,Глава: Зарипов Артур Мухлисович,adm09@bashkortostan.ru,https://bizhbulyak.bashkortostan.ru/,"(34743) 2-12-96, 2-14-63","452040, с. Бижбуляк, Победы, 13"
Администрация МР Бирский район Республики Башкортостан,,Республика Башкортостан,Бирский район,Глава: Талалов Антон Владимирович,adm47@bashkortostan.ru,"https://birsk.bashkortostan.ru/, https://birsk.bashkortostan.ru/","(34784) 4-40-65, 4-41-34","52450, г. Бирск, Курбатова, 63"
Администрация МР Благоварский район Республики Башкортостан,,Республика Башкортостан,Благоварский район,Глава: Юсупов Марат Азаматович,adm10@bashkortostan.ru,https://blagovar.bashkortostan.ru/,"(34747) 2-26-36, 2-27-55, 2-23-17, 2-28-68","452740, с. Языково, Ленина, 37"
Администрация МР Благовещенский район Республики Башкортостан,,Республика Башкортостан,Благовещенский район,Глава: Карабанова Анна Николаевна,adm48@bashkortostan.ru,https://blagoveshensk.bashkortostan.ru/,"(34766) 2-15-69, 2-11-30, 2-17-57","453431, г. Благовещенск, Седова, 96"
Администрация МР Буздякский район Республики Башкортостан,,Республика Башкортостан,Буздякский район,Глава: Игдиев Ильнур Вильмерович,adm11@bashkortostan.ru,"https://buzdyak.bashkortostan.ru/, https://buzdyak.bashkortostan.ru/","(34773) 3-04-04, 3-01-01, 3-05-35, 3-00-32","452710, с. Буздяк, Ленина, 4"
Администрация МР Бурзянский район Республики Башкортостан,,Республика Башкортостан,Бурзянский район,Глава: Абдуллин Рамиль Миниахметович,adm13@bashkortostan.ru,"https://burzyan.bashkortostan.ru/, https://burzyan.bashkortostan.ru/","(34755) 3-52-40, 3-62-54, 3-52-52","453580, с. Старосубхангулово, Ленина, 61"
Администрация МР Гафурийский район Республики Башкортостан,,Республика Башкортостан,Гафурийский район,Глава: Вахитов Венер Фанирович,adm14@bashkortostan.ru,https://gafury.bashkortostan.ru/,"(34740) 2-12-78, 2-13-86, 2-14-77","453050, с. Красноусольский, Октябрьская, 2"
Администрация МР Давлекановского района,,Республика Башкортостан,Давлекановский район,Глава: Мухамедзянов Ильгиз Фанилович,adm49@bashkortostan.ru,https://davlekanovo.bashkortostan.ru/,"(34768) 3-25-25, 3-11-15, 3-28-55","453400, г. Давлеканово, Красная Площадь, 9"
Администрация МР Дуванский район Республики Башкортостан,,Республика Башкортостан,Дуванский район,Глава: Мухамадеев Фаиль Рафаэлевич,adm15@bashkortostan.ru,https://duvan.bashkortostan.ru/,(34798) 3-23-41,"452530, с. Месягутово, И. Усова, 6"
Администрация МР Дюртюлинский район Республики Башкортостан,,Республика Башкортостан,Дюртюлинский район,Глава: Юсупов Риф Сагдатуллович,adm50@bashkortostan.ru,https://durtuli.bashkortostan.ru/,"(34787) 2-22-14, 2-19-54","452320, г. Дюртюли, Чеверева, 41"
Администрация МР Ермекеевский район Республики Башкортостан,,Республика Башкортостан,Ермекеевский район,И.о. главы: Арсланов Равиль Магарифович,adm16@bashkortostan.ru,https://ermekeevo.bashkortostan.ru/,"(34741) 2-24-13, 2-26-08","452190, с. Ермекеево, Ленина, 15"
Администрация МР Зианчуринский район РБ,,Республика Башкортостан,Зианчуринский район,Глава: Юланов Дамин Маратович,adm17@bashkortostan.ru,https://zianchura.bashkortostan.ru/,"(34785) 2-14-16, 2-14-15","453380, с. Исянгулово, Советская, 3"
Администрация МР Зилаирский район Республики Башкортостан,,Республика Башкортостан,Зилаирский район,Глава: Мелкоедов Борис Николаевич,adm18@bashkortostan.ru,https://zilair.bashkortostan.ru/,"(34752) 2-15-36, 2-22-51","453680, с. Зилаир, Ленина, 70"
Администрация МР Иглинский район Республики Башкортостан,,Республика Башкортостан,Иглинский район,Глава: Насырова Гюзель Раисовна,adm19@bashkortostan.ru,https://iglino.bashkortostan.ru/,"(34795) 2-19-19, 2-10-35, 2-24-64","452410, с. Иглино, Ленина, 58"
Администрация МР Илишевский район РБ,,Республика Башкортостан,Илишевский район,Глава: Мустафин Ильдар Иршатович,adm20@bashkortostan.ru,https://ilesh.bashkortostan.ru/,"(34762) 5-12-52, 5-15-38, 5-14-45","452260, с. Верхнеяркеево, Красноармейская, 35"
Администрация МР Ишимбайский район Республики Башкортостан,,Республика Башкортостан,Ишимбайский район,Глава: Ишемгулов Азат Альбертович,adm51@bashkortostan.ru,https://ishimbaimr.bashkortostan.ru/,"(34794) 2-45-55, (34794) 6-30-24, 6-30-11, 6-30-23, 4-01-29","453200, г. Ишимбай, пр-кт Ленина, 60"
Администрация МР Калтасинский район Республики Башкортостан,,Республика Башкортостан,Калтасинский район,Глава: Цедилкин Семен Владимирович,adm21@bashkortostan.ru,https://kaltasin.bashkortostan.ru/,"(34779) 4-22-57, 4-16-05, 4-17-14","452860, с. Калтасы, К. Маркса, 72"
Администрация МР Караидельский район РБ,,Республика Башкортостан,Караидельский район,Глава: Шайдуллин Айдар Ангамович,adm22@bashkortostan.ru,https://karaidel.bashkortostan.ru/,"(34744) 2-14-84, 2-15-89, 2-12-88","452360, с. Караидель, Ленина, 24"
Администрация МР Кармаскалинский район Республики Башкортостан,,Республика Башкортостан,Кармаскалинский район,Глава: Сабиров Альфир Фархатович,adm23@bashkortostan.ru,https://admkarm.bashkortostan.ru/,"(34765) 2-14-85, 2-12-01, 2-14-62","453020, с. Кармаскалы, Садовая, 23"
Администрация МР Кигинский район Республики Башкортостан,,Республика Башкортостан,Кигинский район,Глава: Фаткуллин Салават Факилевич,adm24@bashkortostan.ru,https://kigi.bashkortostan.ru/,(34748) 3-71-71,"452500, с. Верхние Киги, Салавата, 2"
Администрация МР Краснокамский район Республики Башкортостан,,Республика Башкортостан,Краснокамский район,Глава: Горбачёв Алексей Александрович,adm25@bashkortostan.ru,https://krasnokama.bashkortostan.ru/,"(34759) 7-76-00, 7-76-76, 7-76-93","452930, с. Николо-Березовка, Карла Маркса, 3"
Администрация МР Кугарчинский район РБ,,Республика Башкортостан,Кугарчинский район,Глава: Искужин Марат Салимович,adm26@bashkortostan.ru,https://admkugarchi.bashkortostan.ru/,"(34789) 2-10-59, 8-937-343-5177, 2-10-70","453330, с. Мраково, Ленина, 15"
Администрация МР Кушнаренковский район Республики Башкортостан,,Республика Башкортостан,Кушнаренковский район,Глава: Латыпов Марат Загитович,adm27@bashkortostan.ru,https://kushnarenkovo.bashkortostan.ru/,"(34780) 5-77-60, 5-81-60, 5-78-66, 5-75-94","452230, с. Кушнаренково, Октябрьская, 69"
Администрация МР Куюргазинский район Республики Башкортостан,,Республика Башкортостан,Куюргазинский район,Глава: Ильясов Юлай Талхович,adm28@bashkortostan.ru,https://kuyurgaza.bashkortostan.ru/,"(34757) 6-11-50, 6-11-62, 6-11-88","453360, с. Ермолаево, пр-кт Мира, 10"
Администрация МР Мелеузовский район Республики Башкортостан,,Республика Башкортостан,Мелеузовский район,Глава: Габдуллин Забир Тагирьянович,adm54@bashkortostan.ru,https://meleuz.bashkortostan.ru/,"(34764) 3-14-42, 3-04-32","453850, г. Мелеуз, Воровского,11"
Администрация МР Мечетлинский район РБ,,Республика Башкортостан,Мечетлинский район,Глава: Асадуллин Анис Касимович,adm29@bashkortostan.ru,https://mechetly.bashkortostan.ru/,"(34770) 2-03-15, 2-00-68, 2-02-91","452550, с. Большеустьикинское, Ленина, 20"
Администрация МР Мишкинский район Республики Башкортостан,,Республика Башкортостан,Мишкинский район,Глава: Трапезников Павел Владимирович,adm30@bashkortostan.ru,https://mishkan.bashkortostan.ru/,"2-18-01, 2-14-07","452340, с. Мишкино, Ленина, 89"
Администрация МР Миякинский район РБ,,Республика Башкортостан,Миякинский район,Глава: Гумеров Наиль Камилевич,adm31@bashkortostan.ru,https://miyaki.bashkortostan.ru/,"(34788) 2-13-78, 2-12-01, (34788) 2-12-51","452080, с. Киргиз-Мияки, Ленина, 26"
Администрация МР Нуримановский район РБ,,Республика Башкортостан,Нуримановский район,Глава: Ситдиков Вилдан Венерович,adm32@bashkortostan.ru,https://nuriman.bashkortostan.ru/,"(34776) 2-23-35, 2-22-80","452440, с. Красная Горка, Советская, 62"
Администрация МР Стерлитамакский район Республики Башкортостан,,Республика Башкортостан,Стерлитамакский район,Глава: Самигуллина Рита Мадариковна,adm35@bashkortostan.ru,https://str.bashkortostan.ru/,"(3473) 25-32-32, 25-32-07","453124, г. Стерлитамак, Карла Маркса, 118"
Администрация МР Салаватский район РБ,,Республика Башкортостан,Салаватский район,Глава: Кашапов Марс Фарахович,adm33@bashkortostan.ru,https://admmaloyaz.bashkortostan.ru/,"(34777) 2-08-00, 2-08-47, 2-08-01","452490, с. Малояз, Советская, 64"
Администрация МР Стерлибашевский район Республики Башкортостан,,Республика Башкортостан,Стерлибашевский район,Глава: Рахмангулов Рустам Камилович,adm34@bashkortostan.ru,https://sterlibash.bashkortostan.ru/,"(34739) 2-20-01, 2-20-03","453180, с. Стерлибашево, Карла Маркса, 97"
