Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
32_Брасовский_КФХ 004,КРС (мясной),Брянская область,Брасовский район,,,,8-910-294-4186,"242327, п. Коммунар"
«Брянскагропродукт» ООО,зерновые,Брянская область,Брасовский район,Дир.: Синицына Наталья Вадимовна,rusitsa_br@mail.ru,,8-910-333-4011,"242305, д. Погребы, Вокзальная, 32"
32_Брасовский_КФХ 001,"пшеница, овес",Брянская область,Брасовский район,,,,8-961-106-1981,"242312, с. Глоднево"
«Знамя» СПК,"КРС (мясной, молочный); сено",Брянская область,Брасовский район,И.о. предс.: Давыдова Галина Алексеевна,,,8-920-601-3437,"242311, д. Сныткино, 9, помещ. 1"
«Конный завод Локотской» ООО,разведение лошадей,Брянская область,Брасовский район,Ген. дир.: Клюенков Василий Васильевич,lokotskoy@mail.ru,,8-960-558-7448,"242300, р.п. Локоть, Липовая Аллея, 39/9"
«Брасовские Сыры» ООО,"производство молока, молочной продукции",Брянская область,Брасовский район,Дир.: Беленчиков Александр Викторович,brasovosiri@mail.ru,,"8-961-004-9990, 8-930-723-6394","242300, р.п. Локоть, Дзержинского, 2"
32_Брасовский_КФХ 007,садоводство (яблоки),Брянская область,Брасовский район,,,,8-980-334-9999,"242322, д. Крупец"
32_Брасовский_КФХ 011,"пшеница, рожь; КРС (мясной, молочный)",Брянская область,Брасовский район,,,,8-953-283-9749,"242315, д. Кретово"
«Сельхозник» ООО,"зерновые, зернобобовые; КРС (молочный); садоводство",Брянская область,Брасовский район,Ген. дир.: Клюенков Василий Васильевич,oooselhoznik@mail.ru,https://oooselhoznik.ru/,8-915-531-4151,"242300, р.п. Локоть, Липовая аллея, 39"
32_Брасовский_КФХ 009,"пшеница, рожь",Брянская область,Брасовский район,,,,8-920-836-2353,"242223, д. Купец"
32_Брасовский_КФХ 002,"зерновые, зернобобовые",Брянская область,Брасовский район,,,,8-910-239-3112,"242313, с. Добрик"
Администрация Брасовского района,,Брянская область,Брасовский район,Глава: Лавокин Сергей Николаевич,priemnaya@brasadmin.org,https://brasadmin.org/index.html,(48354) 9-11-31,"242300, Брасовский р-н, р.п. Локоть, пр-кт Ленина, 2"
32_Брасовский_КФХ 010,"зерновые, зернобобовые",Брянская область,Брасовский район,,,,8-906-500-9037,"242320, с. Глоднево"
32_Брасовский_КФХ 003,овес,Брянская область,Брасовский район,,,,8-962-137-4922,"242300, п. Локоть"
32_Брасовский_КФХ 005,зерновые,Брянская область,Брасовский район,,,,8-960-546-2210,"242313, п. Коммунар"
«СТ Брянск» ООО,оптовая торговля зерном,Брянская область,Брасовский район,Ген. дир.: Дворцов Константин Александрович,stbr2020@mail.ru,,8-915-538-9276,"242300, Брасовский р-н, р.п. Локоть, Липовая Аллея, 39, оф. 206"
«Брасовское районное управление сельского хозяйства» ГКУ,,Брянская область,Брасовский район,Нач.: Шилов Геннадий Васильевич,stepanencko.jlia2011@yandex.ru,,"(48354) 9-15-95, (48354) 9-10-03, (48354) 9-13-32, 9-13-41","242300, Брасовский р-н, р.п. Локоть, пр. Ленина, 2 А"
32_Брасовский_КФХ 008,"пшеница, рожь, овес, гречиха",Брянская область,Брасовский район,,,,8-910-232-0384,"242300, рп. Локоть"
«Континент-Агро» ООО,оптовая торговля кормами для с/х животных,Брянская область,Брянск г.,Дир.: Бруй Сергей Владимирович,,,"(4832) 58-81-01, (4832) 57-28-79","241050, г. Брянск, Пролетарская, 1"
«ТК «Передовые Агротехнологии» ООО,СЗР,Брянская область,Брянск г.,Дир.: Костанян Унан Хачикович,1967@mail.ru,,8-906-500-7676,"241020, г. Брянск, Московский проезд, 15 Б, офис 1"
«Брянский тракторный завод» ООО,"тракторы: колёсные (телескопический погрузчик UMG, БТЗ-254К, БТЗ-253К, БТЗ-251К), гусеничные: БТЗ-181",Брянская область,Брянск г.,Управляющ.: Яшенин Виктор Васильевич,btz@brtz.ru,"https://btz-agro.ru/, https://btz-agro.ru/","8-800-250-6034, (4832) 74-48-37","241050, г. Брянск, Калинина, 98, оф. 424"
«Агропромкомплект» АО,"кормоуборочная техника; оборудование для животноводства (доильное, транспортеры навозоуборочные, кормораздатчики, привязи КРС и др.); электродвигатели, насосы",Брянская область,Брянск г.,Ген. дир.: Дзарасов Сергей Савкузович,agropromkomplekt@yandex.ru,,"(4832) 63-51-16, (4832) 63-50-49, (4832) 74-80-24","241004, г. Брянск, Московский пр-кт, 99, к.в."
«Бежицкий Хлебокомбинат» ОАО,"хлеб, мукомольное, крупяное производство",Брянская область,Брянск г.,Ген. дир.: Пилипушко Сергей Николаевич,bhk@bhk32.ru,,(4832) 32-79-01,"241035, г. Брянск, Ульянова, 60"
«Ахк «Грин Агро» ООО,"СЗР, удобрения",Брянская область,Брянск г.,Дир.: Начатой Евгений Львович,g.agro@mail.ru,,"(4832) 72-90-08, 8-910-333-1633","241050, г. Брянск, б-р Гагарина, 23, оф. 604"
«Технохолод» ООО,"торговля оборудованием для производства пищевой продукции, холодильным оборудованием, холодильными машинами",Брянская область,Брянск г.,Ген. дир.: Климов Виктор Егорович,,,"(4832) 66-30-53, (4832) 74-35-67, 8-953-271-6808","241050, г. Брянск, Крапивницкого, 15"
«Интермашснаб» ГК ООО,"представитель ОАО «Гомельский завод измерительных приборов», поставка измерительных приборов, потенциометрических электродов, лабораторной техники",Брянская область,Брянск г.,Ген. дир.: Бочаров Алексей Анатольевич,imsph@mail.ru,"https://i-m-s.su/, https://i-m-s.su/","(4632) 66-35-37, 8-910-332-6584","241050, г. Брянск, Фокина, 193, кв. 306"
