Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
Администрация Алексеевского муниципального района,,Волгоградская область,Алексеевский район,Глава муниципального района: Свинухов Игорь Михайлович,ra_alex@volganet.ru,,(84446) 3-18-31,"403241, ст. Алексеевская, Ленина, 36"
Отдел по сельскому хозяйству и землепользованию Алексеевского муниципального района Волгоградской области,,Волгоградская область,Алексеевский район,Нач.: Мельников Игорь Геннадьевич,otdel_selhoz_zem@mail.ru,,(84446) 3-19-96,"403241, ст. Алексееевская, Советский, 30"
34_Алексеевский_КФХ 001,"зерновые, зернобобовые, технические",Волгоградская область,Алексеевский район,,,,8-904-755-3443,"403257, х. Большой Бабинский"
34_Алексеевский_КФХ 002,"пшеница, подсолнечник",Волгоградская область,Алексеевский район,,,,8-904-778-1304,"403241, ст. Алексеевская"
34_Алексеевский_КФХ 003,"зерновые, подсолнечник",Волгоградская область,Алексеевский район,,,,8-902-361-0214,"403260, ст. Усть-Бузулукская"
34_Алексеевский_КФХ 004,"овощи; овцы, козы",Волгоградская область,Алексеевский район,,,,8-904-428-8181,"403256, х. Рябовский"
34_Алексеевский_КФХ 005,"пшеница, подсолнечник, просо",Волгоградская область,Алексеевский район,,,,8-927-532-7930,"403249, п. Красный Октябрь"
34_Алексеевский_КФХ 006,"пшеница, подсолнечник",Волгоградская область,Алексеевский район,,,,8-927-064-7536,"403249, п. Красный Октябрь"
34_Алексеевский_КФХ 007,"зерновые, подсолнечник",Волгоградская область,Алексеевский район,,,,8-927-505-8187,"403262, ст. Аржановская"
34_Алексеевский_КФХ 008,"зерновые, технические",Волгоградская область,Алексеевский район,,,,8-904-757-7178,"403241, ст. Алексеевская"
34_Алексеевский_КФХ 009,"озимая пшеница, подсолнечник",Волгоградская область,Алексеевский район,,,,8-937-537-6485,"403249, п. Красный Октябрь"
34_Алексеевский_КФХ 010,зерновые,Волгоградская область,Алексеевский район,,,,8-904-422-2510,"403252, х. Исакиевский"
34_Алексеевский_КФХ 011,"зерновые, технические",Волгоградская область,Алексеевский район,,,,8-902-312-3139,"403256, х. Стёженский"
34_Алексеевский_КФХ 012,зерновые,Волгоградская область,Алексеевский район,,,,8-904-777-5500,"403266, х. Реченский"
34_Алексеевский_КФХ 013,"пшеница, подсолнечник, нут, сорго",Волгоградская область,Алексеевский район,,,,8-902-364-8350,"403241, ст. Алексеевская"
34_Алексеевский_КФХ 014,"пшеница, подсолнечник, нут, просо, гречиха",Волгоградская область,Алексеевский район,,,,8-904-777-9590,"403241, ст. Алексеевская"
34_Алексеевский_КФХ 015,зерновые,Волгоградская область,Алексеевский район,,,,8-927-509-6042,"403249, п. Красный Октябрь"
34_Алексеевский_КФХ 016,"пшеница, подсолнечник",Волгоградская область,Алексеевский район,,,,8-904-424-6870,"403261, х. Титовский"
34_Алексеевский_КФХ 017,зерновые,Волгоградская область,Алексеевский район,,,,8-905-433-9767,"403241, ст. Алексеевская"
34_Алексеевский_КФХ 018,"пшеница, подсолнечник",Волгоградская область,Алексеевский район,,,,8-960-884-8896,"403243, х. Солонцовский"
34_Алексеевский_КФХ 019,"озимая пшеница, подсолнечник",Волгоградская область,Алексеевский район,,,,8-902-388-8836,"403262, ст. Аржановская"
34_Алексеевский_КФХ 020,"зерновые, технические",Волгоградская область,Алексеевский район,,,,8-927-064-7348,"403249, п. Красный Октябрь"
34_Алексеевский_КФХ 021,"оз. пшеница, просо, подсолнечник",Волгоградская область,Алексеевский район,,,,8-904-775-6672,"403241, ст. Алексеевская"
34_Алексеевский_КФХ 022,"зерновые, технические",Волгоградская область,Алексеевский район,,,,8-904-408-1185,"403262, ст. Аржановская"
«Агрокомплекс» ООО,"пшеница, рожь, ячмень, подсолнечник, тритикале",Волгоградская область,Алексеевский район,Ген. дир.: Зарбалиев Сейфур Камил оглы,agrokomplex.yam@mail.ru,,8-960-884-4444,"403250, х. Яминский, пер. Малинина, 7"
«Андреевский» СПК,"пшеница, подсолнечник, нут, кукуруза, лён",Волгоградская область,Алексеевский район,Предс.: Павшинцев Валентин Петрович,spk-andreevsky@mail.ru,,8-927-528-7299,"403249, п. Красный Октябрь, 35"
«АПК Сокол» ООО,"пшеница, ячмень, рожь, подсолнечник, кукуруза, просо; КРС (молочный)",Волгоградская область,Алексеевский район,Ген. дир.: Панин Дмитрий Иванович,apksokol20111982@yandex.ru,,8-927-526-2576,"403249, п. Красный Октябрь"
«Аржановское» АО,"пшеница, ячмень, просо, нут, кукуруза, подсолнечник",Волгоградская область,Алексеевский район,Дир.: Привалов Андрей Владимирович,arjanovka@yandex.ru,,"(84446) 3-42-17, 3-42-46, 8-902-388-8836","403262, ст. Аржановская, 60 А"
«Водопад» ООО,"пшеница, подсолнечник",Волгоградская область,Алексеевский район,Ген. дир.: Дьяконов Алексей Александрович,,,8-937-703-0101,"403249, п. Красный Октябрь, 145"
«Водяновское» ООО,"пшеница, ячмень, подсолнечник, нут",Волгоградская область,Алексеевский район,Дир.: Хомутов Иван Иванович,ivanhomutov2015@yandex.ru,,8-904-771-9299,"403262, ст. Аржановская, 274"
«Дальний» ООО,"пшеница, подсолнечник, кукуруза, нут",Волгоградская область,Алексеевский район,Дир.: Рябов Сергей Юрьевич,ofise.dalniy@yandex.ru,,"(84446) 3-52-40, 3-51-25","403267, х. Рябовский"
«Деметра» СПК (Алексеевский район),"пшеница, подсолнечник, просо",Волгоградская область,Алексеевский район,Предс.: Петров Евгений Геннадьевич,demetra1999@yandex.ru,,8-902-658-2507,"403262, ст. Аржановская, 119 А"
«Елень» ООО,"пшеница, ячмень, подсолнечник, просо",Волгоградская область,Алексеевский район,Дир.: Фролов Алексей Федорович,oooelen@bk.ru,,"(84446) 3-45-23, 8-904-401-9041","403265, х. Трехложинский, 131/2"
«Изобильное» ООО,"пшеница, подсолнечник, ячмень, сафлор",Волгоградская область,Алексеевский район,Дир.: Утученков Виктор Сергеевич,cyxopykow@yandex.ru,,(84446) 3-47-20,"403266, х. Суховский, 52"
«Каскад» ООО,"зерновые, технические",Волгоградская область,Алексеевский район,Ген. дир.: Меляина Ольга Александровна,melyanina@mail.ru,,8-937-704-4042,"403249, п. Красный Октябрь, 26/2"
«Ключ-агро» ООО,"пшеница, подсолнечник, соя, кукуруза",Волгоградская область,Алексеевский район,Ген. дир.: Степыгин Алексей Владимирович,office@key-agro.com,http://key-agro.com/,(84446) 3-74-35,"403244, х. Шарашенский, зд. 292"
«Луч» ООО (Алексеевский район),"озимая пшеница, подсолнечник",Волгоградская область,Алексеевский район,Ген. дир.: Макаров Михаил Васильевич,,,"(84446) 3-61-73, 8-927-068-3464","403249, п. Красный Октябрь"
«Лучистое» КФХ,"озимая пшеница, подсолнечник",Волгоградская область,Алексеевский район,,,,(84446) 3-64-48,"403253, х. Поклоновский, д. 161"
«Монолит» ООО,"рожь, тритикале; арбузы",Волгоградская область,Алексеевский район,Ген. дир.: Васильева Любовь Владимировна,,,(84446) 3-66-34,"403256, х. Стёженский"
«Наталья» ООО,"зерновые, масличные",Волгоградская область,Алексеевский район,Ген. дир.: Антонов Эдуард Семенович,,,8-937-700-6135,"403249, п. Красный Октябрь"
«Ньюбио» ООО,"завод по глубокой переработке зерна кукурузы, производство крахмала, корма для с/х животных",Волгоградская область,Алексеевский район,Ген. дир.: Савков Дмитрий Иванович,newbio@newbio.su,"https://newbio.ru/, https://newbio.ru/","(84446) 3-26-11, 8-800-200-0333","403244, Алексеевский р-н, х. Шарашенский, 324"
«Пономарево» ООО,"озимая пшеница, подсолнечник",Волгоградская область,Алексеевский район,Дир.: Пономарев Николай Анатольевич,,,8-902-655-7847,"403262, ст. Аржановская, 231"
«РАО Алексеевское» АО,"пшеница, кукуруза, просо; производство колбасных изделий",Волгоградская область,Алексеевский район,Ген. дир.: Маяцкий Виктор Александрович,RAO_Alex@vlpost.ru,,"(84446) 3-12-76, 3-19-79, 3-16-60","403241, Алексеевский р-н, ст. Алексеевская, Калинина, 21"
«Садко» ООО,"зерновые, подсолнечник, зернобобовые",Волгоградская область,Алексеевский район,Ген. дир.: Зоткин Александр Федорович,azotkin.sadko@mail.ru,,8-902-652-9988,"403264, х. Скулябинский"
«Самолшенское» ОАО,"пшеница, рожь, подсолнечник",Волгоградская область,Алексеевский район,Дир.: Максимов Николай Иванович,samolga2013@yandex.ru,,"(84446) 3-56-17, 3-21-68","403254, х. Самолшинский, 70"
«Сатурн» ООО,"пшеница, озимая рожь, ячмень, подсолнечник, просо",Волгоградская область,Алексеевский район,Ген. дир.: Ельшова Галина Валентиновна,Div1806@rambler.ru,,8-937-704-8678,"403249, п. Красный Октябрь, 27"
«Светлое» КФХ,"пшеница, ячмень, подсолнечник, гречиха",Волгоградская область,Алексеевский район,,,,8-904-404-4443,"403253, х. Поклоновский"
«Скулябинское» ООО,"зерновые, технические",Волгоградская область,Алексеевский район,Ио дир.: Чемерис Елена Евгеньевн,sculyabinskoe@mail.ru,,"8-902-656-4370, 8-902-656-4510","403241, ст. Алексеевская, Красногвардейская, 70/2"
«Тайфун» ООО,"пшеница, подсолнечник, просо",Волгоградская область,Алексеевский район,Дир.: Дьяконов Виктор Александрович,tayfun@myrambler.ru,,8-937-710-0098,"403249, п. Красный Октябрь, 23"
«Телец» ООО,"пшеница, подсолнечник",Волгоградская область,Алексеевский район,Дир.: Лукьянов Виктор Владимирович,inna251171@mail.ru,,8-937-723-9435,"403249, п. Красный Октябрь, д. 120"
«Успех» ООО,"пшеница, подсолнечник, тритикале, просо, нут",Волгоградская область,Алексеевский район,Ген. дир.: Аникеев Сергей Викторович,ooouspeh@inbox.ru,,8-902-652-4241,"403257, х. Большой Бабинский"
«Хопёр-Агро» ООО (Алексеевский район),"пшеница, ячмень, подсолнечник, кукуруза",Волгоградская область,Алексеевский район,Дир.: Зобнин Иван Григорьевич,galina2009-9@mail.ru,,"(84446) 3-12-15, 8-902-651-4894","403241, ст. Алексеевская, Ленина, 1"
«Шарм» ООО,зерновые,Волгоградская область,Алексеевский район,Ген. дир.: Демиденко Николай Петрович,,,8-928-601-7376,"403268, х. Ежовский"
«Янтарь» ООО,"пшеница, подсолнечник",Волгоградская область,Алексеевский район,Ген. дир.: Полупанов Александр Иванович,,,8-904-770-9686,"403262, ст. Аржановская, 303"
«Ньюбио» ООО,"завод по глубокой переработке зерна кукурузы, производство крахмала, корма для с/х животных",Волгоградская область,Алексеевский район,Ген. дир.: Савков Дмитрий Иванович,newbio@newbio.su,"https://newbio.ru/, https://newbio.ru/","(84446) 3-26-11, 8-800-200-0333","403244, Алексеевский р-н, х. Шарашенский, 324"
«Семена» ООО НП,производство и реализация семян подсолнечника,Волгоградская область,Алексеевский район,Дир.: Банников Владимир Николаевич,vladimir_bannikov00@mail.ru,,"8-902-361-0214, 8-902-387-5756","403260, Алексеевский р-н, ст. Усть-Бузулукская"
Администрация Быковского муниципального района,,Волгоградская область,Быковский район,Глава администрации муниципального района: Рычагов Александр Васильевич,ra_bykov@volganet.ru,,"(84495) 3-14-75, 3-11-88","404060, р.п. Быково, Советская, 65"
Отдел сельского хозяйства Быковского муниципального района Волгоградской области,,Волгоградская область,Быковский район,Нач.: Шипаев Сергей Евгеньевич,Bykselhoz2013@yandex.ru,,"(84495) 3-15-74, 3-11-86","404060, р.п. Быково, Советская, 65"
34_Быковский_КФХ 001,"КРС, овцы",Волгоградская область,Быковский район,,,,8-937-749-5595,"404082, с. Солдатско-Степное"
34_Быковский_КФХ 002,КРС (мясной),Волгоградская область,Быковский район,,,,8-961-691-7959,"404073, п. Катричев"
34_Быковский_КФХ 003,"зерновые; КРС (мясной), овцы",Волгоградская область,Быковский район,,,,8-937-724-5540,"404064, с. Садовое"
34_Быковский_КФХ 004,зерновые; КРС,Волгоградская область,Быковский район,,,,8-937-695-3874,"404078, с. Верхний Балыклей"
34_Быковский_КФХ 005,рожь,Волгоградская область,Быковский район,,,,8-927-253-9601,"404070, п. Приморск"
34_Быковский_КФХ 006,"КРС, кормопроизводство",Волгоградская область,Быковский район,,,,8-927-507-7484,"404062, р.п. Быково"
34_Быковский_КФХ 007,"овощи (открытый грунт), бахчевые",Волгоградская область,Быковский район,,,,8-960-876-8142,"404061, р.п. Быково"
34_Быковский_КФХ 008,"выращивание под заказ любых овощных и бахчевых культур; овощи (помидоры, огурцы, капуста, баклажаны, перец, лук), картофель; арбузы, тыквы, дыни; семена овощных культур",Волгоградская область,Быковский район,,,,8-937-550-4034,"404078, Быковский р-н, с. Верхний Балыклей"
34_Быковский_КФХ 009,КРС (мясной),Волгоградская область,Быковский район,,,,8-937-567-1625,"404073, п. Катричев"
34_Быковский_КФХ 010,"зерновые, бахчевые культуры",Волгоградская область,Быковский район,,,,8-906-407-5750,"404062, Быковский р-н, р.п. Быково"
34_Быковский_КФХ 011,бахчевые,Волгоградская область,Быковский район,,,,8-902-362-1382,"404082, п. Федоровка"
34_Быковский_КФХ 012,тыква,Волгоградская область,Быковский район,,,,8-927-257-0279,"404070, п. Приморск"
34_Быковский_КФХ 013,"овощи, картофель, бахчевые",Волгоградская область,Быковский район,,,,8-937-719-3236,"404066, Быковский р-н, с. Кислово"
34_Быковский_КФХ 014,"зерновые, масличные, бахчевые",Волгоградская область,Быковский район,,,,8-927-514-6162,"404067, п. Зеленый"
34_Быковский_КФХ 015,"пшеница, ячмень, рожь, суданка, бахчевые культуры; свиноводство",Волгоградская область,Быковский район,,,,8-927-522-4334,"404075, с. Луговая Пролейка"
34_Быковский_КФХ 016,зерновые; бахчевые культуры,Волгоградская область,Быковский район,,,,8-927-535-6396,"404080, Быковский р-н, п. Победа"
34_Быковский_КФХ 017,"зерновые; овощи, бахчевые",Волгоградская область,Быковский район,,,,8-927-514-7965,"404080, п. Победа"
34_Быковский_КФХ 018,КРС (мясной),Волгоградская область,Быковский район,,,,8-927-519-5449,"404063, с. Красноселец"
34_Быковский_КФХ 019,"КРС (мясной), овцы, зерновые",Волгоградская область,Быковский район,,,,8-904-417-0761,"404073, п. Катричев"
34_Быковский_КФХ 020,КРС,Волгоградская область,Быковский район,,,,8-937-080-8441,"404075, с. Луговая Пролейка"
34_Быковский_КФХ 021,"зерновые; КРС (мясной), овцы; бахчевые",Волгоградская область,Быковский район,,,,8-927-505-1796,"404060, Быковский р-н, п. Победа"
34_Быковский_КФХ 022,зерновые,Волгоградская область,Быковский район,,,,8-927-529-6376,"404061, р.п. Быково"
34_Быковский_КФХ 023,зерновые; бахчевые культуры; КРС (мясной),Волгоградская область,Быковский район,,,,8-937-733-6662,"404062, р.п. Быково"
34_Быковский_КФХ 024,"овощеводство (открытый грунт), арбузы",Волгоградская область,Быковский район,,,,8-937-549-2229,"404062, Быковский р-н, р.п. Быково"
34_Быковский_КФХ 025,зерновые,Волгоградская область,Быковский район,,,,8-904-773-4800,"404066, с. Кислово"
34_Быковский_КФХ 026,зерновые; бахчевые культуры,Волгоградская область,Быковский район,,,,8-927-254-2251,"404070, п. Приморск"
34_Быковский_КФХ 027,овцеводство,Волгоградская область,Быковский район,,,,8-927-536-4074,"404080, п. Победа"
34_Быковский_КФХ 028,"зерновые, технические; бахчевые",Волгоградская область,Быковский район,,,,8-937-750-8257,"404080, п. Победа"
34_Быковский_КФХ 029,зерновые,Волгоградская область,Быковский район,,,,8-927-509-5182,"404080, п. Победа"
34_Быковский_КФХ 030,зерновые; бахчевые,Волгоградская область,Быковский район,,,,8-937-704-4298,"404080, Быковский, п. Победа"
34_Быковский_КФХ 031,"зерновые культуры; овцы; овощи (перец, помидоры, баклажаны)",Волгоградская область,Быковский район,,,,8-927-520-3830,"404062, Быковский р-н, р.п. Быково"
34_Быковский_КФХ 032,"зерновые; бахчевые культуры; КРС (молочный), овцы",Волгоградская область,Быковский район,,,,8-904-776-4411,"404075, Быковский р-н, с. Луговая Пролейка"
34_Быковский_КФХ 033,"КРС (мясной), овцы",Волгоградская область,Быковский район,,,,8-917-332-3855,"400074, г. Волгоград"
34_Быковский_КФХ 034,зерновые; КРС,Волгоградская область,Быковский район,,,,8-937-542-2260,"404063, с. Красноселец"
34_Быковский_КФХ 035,"зерновые, бахчевые, КРС (мясной), овцы",Волгоградская область,Быковский район,,,,8-937-565-2707,"404082, с. Солдатско-Степное"
34_Быковский_КФХ 036,зерновые; КРС,Волгоградская область,Быковский район,,,,8-937-543-3250,"404073, п. Катричев"
34_Быковский_КФХ 037,овцеводство,Волгоградская область,Быковский район,,,,8-937-701-2343,"404066, с. Кислово"
34_Быковский_КФХ 038,"КРС (мясной), овцы",Волгоградская область,Быковский район,,,,8-927-513-5251,"404062, р.п. Быково"
34_Быковский_КФХ 039,"зерновые; бахчевые культуры, овощи (помидоры, перец, морковь)",Волгоградская область,Быковский район,,,,8-927-520-4879,"404062, Быковский р-н, р.п. Быково"
34_Быковский_КФХ 040,зерновые; бахчевые культуры,Волгоградская область,Быковский район,,,,8-904-439-6157,"404063, с. Красноселец"
34_Быковский_КФХ 041,овощи (открытый грунт),Волгоградская область,Быковский район,,,,8-927-520-3920,"404061, р.п. Быково"
34_Быковский_КФХ 042,зерновые; овцы; бахчевые культуры,Волгоградская область,Быковский район,,,,8-927-066-9680,"404080, п. Победа"
34_Быковский_КФХ 043,"зерновые; овцы, свиньи",Волгоградская область,Быковский район,,,,8-904-415-9696,"404063, с. Красноселец"
34_Быковский_КФХ 044,овощи,Волгоградская область,Быковский район,,,,8-906-167-1038,"404070, Быковский район, п. Приморск"
34_Быковский_КФХ 045,"зерновые; КРС, овцы",Волгоградская область,Быковский район,,,,8-937-702-0635,"404063, с. Красноселец"
