Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
Администрация Абдулинского городского округа,,Оренбургская область,Абдулинский район,Глава: Павлов Денис Петрович,ab@mail.orb.ru,https://mo-ab.orb.ru/,(35355) 2-55-17,"461744, г. Абдулино, Коммунистическая, 276"
Управление сельского хозяйства и по работе с территориями Абдулинского городского округа,,Оренбургская область,Абдулинский район,Нач.: Галиуллин Азат Тимерзянович,ab_agro@mail.orb.ru,https://mo-ab.orb.ru/,"(35355) 2-58-45, 2-58-24, (35355) 2-54-41","461744, г. Абдулино, Коммунистическая, 276"
56_Абдулинский_КФХ 001,зерновые,Оренбургская область,Абдулинский район,,,,8-922-889-3389,"461742, г. Абдулино"
56_Абдулинский_КФХ 002,"зерновые, зернобобовые, масличные",Оренбургская область,Абдулинский район,,,,8-922-624-9497,"461753, с. Емантаево"
56_Абдулинский_КФХ 003,зерновые,Оренбургская область,Абдулинский район,,,,8-986-774-6748,"461744, п. Венера"
56_Абдулинский_КФХ 004,"зерновые; КРС (мясной, молочный)",Оренбургская область,Абдулинский район,,,,8-922-895-4784,"461768, с. Николькино"
56_Абдулинский_КФХ 005,"зерновые, подсолнечник",Оренбургская область,Абдулинский район,,,,8-922-823-4644,"461758, с. Новоякупово"
56_Абдулинский_КФХ 006,зерновые,Оренбургская область,Абдулинский район,,,,8-922-536-6470,"461742, г. Абдулино"
56_Абдулинский_КФХ 007,зерновые,Оренбургская область,Абдулинский район,,,,8-922-819-1753,"461769, п. Первомайский"
56_Абдулинский_КФХ 008,зерновые,Оренбургская область,Абдулинский район,,,,8-922-808-7428,"461770, с. Булатовка"
56_Абдулинский_КФХ 009,"зерновые, масличные",Оренбургская область,Абдулинский район,,,,8-922-813-9444,"461765, с. Абдрахманово"
56_Абдулинский_КФХ 010,зерновые,Оренбургская область,Абдулинский район,,,,8-922-532-9505,"461758, с. Новоякупово"
56_Абдулинский_КФХ 011,КРС (мясной),Оренбургская область,Абдулинский район,,,,8-922-898-9315,"461771, п. Северная Звезда"
56_Абдулинский_КФХ 012,"зерновые, масличные; КРС",Оренбургская область,Абдулинский район,,,,8-922-546-0065,"461770, с. Булатовка"
56_Абдулинский_КФХ 013,"зерновые, масличные",Оренбургская область,Абдулинский район,,,,8-922-830-0665,"461742, г. Абдулино"
56_Абдулинский_КФХ 014,"зерновые, зернобобовые, масличные",Оренбургская область,Абдулинский район,,,,8-922-809-0057,"461770, с. Артемьевка"
56_Абдулинский_КФХ 015,"КРС (мясной, молочный)",Оренбургская область,Абдулинский район,,,,8-922-879-6162,"461744, г. Абдулино"
56_Абдулинский_КФХ 016,"пшеница, гречиха, подсолнечник",Оренбургская область,Абдулинский район,,,,8-922-878-9060,"461742, г. Абдулино"
56_Абдулинский_КФХ 017,зерновые,Оренбургская область,Абдулинский район,,,,8-922-532-6237,"461770, с. Булатовка"
56_Абдулинский_КФХ 018,зерновые,Оренбургская область,Абдулинский район,,,,8-922-629-2556,"461744, п. Венера"
56_Абдулинский_КФХ 019,зерновые,Оренбургская область,Абдулинский район,,,,8-922-536-6426,"461774, с. Покровка"
56_Абдулинский_КФХ 020,"зерновые; КРС (мясной, молочный); бойня; закупка КРС",Оренбургская область,Абдулинский район,,,,8-922-874-3433,"461742, г. Абдулино"
56_Абдулинский_КФХ 021,зерновые,Оренбургская область,Абдулинский район,,,,8-922-628-1499,"461768, с. Искра"
56_Абдулинский_КФХ 022,"зерновые, КРС (молочный)",Оренбургская область,Абдулинский район,,,,8-922-628-5699,"461777, с. Новый Тирис"
«Авангард» ООО (Абдулинский р-н),"зерновые; КРС (мясной, молочный)",Оренбургская область,Абдулинский район,Дир.: Акбаров Равиль Камелович,akbarov-ravil@mail.ru,,"8-922-846-4477, (35355) 3-35-31","461766, с. Чеганлы, Тукаевская, 13"
«Вера» СПКК,зерновые,Оренбургская область,Абдулинский район,Предс.: Дурнев Виктор Александрович,spkk-vera@mail.ru,,8-922-622-8683,"461752, с. Авдеевка, Школьная, 5"
«Земледелец» ООО,зерновые; КРС (мясной),Оренбургская область,Абдулинский район,Дир.: Кузьмин Николай Петрович,zemledelec56@mail.ru,,8-922-802-4432,"461750, с. Зерикла, Молодежная, 10"
