Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
Администрация Стародубского района,,Брянская область,Стародубский район,Глава: Подольный Александр Владимирович,stadmo2008@yandex.ru,https://starodub.gosuslugi.ru/,(48348) 2-22-12,"243240, Стародубский р-н, г. Стародуб, Советская пл., 8"
Министерство сельского хозяйства и продовольствия Ростовской области,,Ростовская область,Ростов-на-Дону г.,,"minselhoz@donland.ru, kanc@don-agro.ru",https://mcx.donland.ru/,"(863) 232-05-74, (863) 232-35-19, (863) 232-05-74, (863) 300-05-89, (863) 250-98-01, (863) 234-84-09, (863) 250-97-85, (863) 234-53-91, (863) 234-85-43","344010, г. Ростов-на-Дону, Красноармейская, 33"
Обливская районная АККОР,,Ростовская область,Обливский район,Предс.: Черноморов Александр Владимирович,,,"(86396) 2-24-23, 8-928-107-4901","347140, ст. Обливская, Ленина, 54"
"Отдел по поддержке сельского хозяйства, землепользованию и охране окружающей среды администрации Милютинского района",,Ростовская область,Милютинский район,Нач.: Парфёнов Алексей Иванович,,,"(86389) 2-13-62, 2-11-49, 2-10-02, 2-14-94","347120, ст. Милютинская, Комсомольская, 30"
Отдел по сельскому хозяйству и перерабатывающей промышленности администрации Октябрьского района,,Ростовская область,Октябрьский район,Нач.: Мартюк Наталья Валериевна,,,"(86360) 2-05-93, 2-01-53, 2-32-20","346480, п. Каменоломни, 40 лет Октября, 80"
Отдел сельского хозяйства администрации Азовского района,,Ростовская область,Азовский район,Нач.: Тумащик Алексей Анатольевич,osh.azov@mail.ru,,"(86342) 6-53-00, 6-33-65, 6-33-27","346782, г. Азов, пер. Безымянный, 11"
Отдел сельского хозяйства администрации Верхнедонского района,,Ростовская область,Верхнедонской район,Зам. главы администрации района: Кочуев Владимир Серафимович,,,"(86364) 3-13-09, 3-15-30, 3-16-50, 3-11-93","346170, ст. Казанская, Матросова, 12"
Отдел сельского хозяйства администрации Веселовского района,,Ростовская область,Веселовский район,Нач.: Василевская Елена Николаевна,,,(86358) 6-11-44,"347781, п. Веселый, Комсомольский, 61"
Отдел сельского хозяйства администрации Егорлыкского района,,Ростовская область,Егорлыкский район,Нач.: Удод Александр Николаевич,,,"(86370) 2-26-73, 2-13-48, 2-10-85","347660, ст. Егорлыкская, Мира, 88"
Отдел сельского хозяйства администрации Заветинского района,,Ростовская область,Заветинский район,Нач.: Ковалев Борис Юрьевич,,,"(86378) 2-16-76, 2-21-48, 2-21-48, 2-21-48, 2-21-48","347430, с. Заветное, Ломоносова, 25"
Отдел сельского хозяйства администрации Зерноградского района,,Ростовская область,Зерноградский район,Нач.: Чичун Михаил Михайлович,,,"(86359) 4-23-72, 4-15-45, 4-36-62, 4-16-61","347740, г. Зерноград, Мира, 16"
Отдел сельского хозяйства администрации Зимовниковского района,,Ростовская область,Зимовниковский район,Нач.: Собочкин Михаил Михайлович,,,"(86376) 3-21-35, 3-25-98, 3-21-02, 3-10-52","347460, п. Зимовники, Ленина, 114"
Отдел сельского хозяйства администрации Кагальницкого района,,Ростовская область,Кагальницкий район,Нач.: Сгибнев Александр Юрьевич,,,"(86345) 9-63-97, 9-60-94, 9-66-72","347700, ст. Кагальницкая, Кольцовский, 34"
Отдел сельского хозяйства администрации Тарасовского района,,Ростовская область,Тарасовский район,Нач.: Михайленко Петр Владимирович,,,"(86386) 3-12-65, 3-14-36, 3-14-03, 3-24-54, 3-27-98","346050, п. Тарасовский, Почтовый, 5"
Отдел сельского хозяйства администрации Тацинского района,,Ростовская область,Тацинский район,Нач.: Толпинский Александр Дмитриевич,,,"(86397) 3-01-81, 3-01-84","347060, ст. Тацинская, Ленина, 43"
Отдел сельского хозяйства администрации Цимлянского района,,Ростовская область,Цимлянский район,Нач.: Шумный Михаил Владимирович,,,"(86391) 5-10-87, 2-11-48, 2-19-18, 2-12-72","347320, г. Цимлянск, Ленина, 22"
Отдел сельского хозяйства администрации Чертковского района,,Ростовская область,Чертковский район,Нач.: Шанталий Алексей Александрович,,,"(86387) 2-11-69, 2-15-39, 2-15-69","346000, п. Чертково, Петровского, 115"
Отдел сельского хозяйства и охраны окружающей среды администрации Багаевского района,,Ростовская область,Багаевский район,,,,"(86357) 3-24-06, 3-39-97","346610, ст. Багаевская, Подройкина, 10"
Отдел сельского хозяйства и охраны окружающей среды администрации Боковского района,,Ростовская область,Боковский район,Нач.: Рыжков Алексей Олегович,,,"(86382) 3-14-38, 3-16-76, 3-12-40, 3-12-80","346250, ст. Боковская, Совхозная, 1"
Отдел сельского хозяйства и охраны окружающей среды администрации Волгодонского района,,Ростовская область,Волгодонской район,Нач.: Воликов Виктор Михайлович,,,"(86394) 7-03-72, 7-03-58, 7-14-26, 7-02-74","347350, ст. Романовская, Почтовая 9"
Отдел сельского хозяйства и охраны окружающей среды администрации Дубовского района,,Ростовская область,Дубовский район,Нач.: Перцева Елена Вадимовна,"dcxy-, dubovskoe@mail.ru",,"(86377) 2-02-70, 2-02-70","347410, с. Дубовское, Павших Борцов, 1"
Отдел сельского хозяйства и охраны окружающей среды администрации Каменского района,,Ростовская область,Каменский район,Нач.: Воеводин Михаил Петрович,,,"(86365) 9-58-25, 9-51-03, 9-57-56, 9-55-09","347850, п. Глубокий, Артема, 198"
Отдел сельского хозяйства и охраны окружающей среды администрации Кашарского района,,Ростовская область,Кашарский район,Нач.: Тимченко Александр Викторович,uprsel@kashary.donpac.ru,,"(86388) 2-11-68, 2-10-67, 2-14-86, 2-24-22","346200, сл. Кашары, Ленина, 58"
Отдел сельского хозяйства и охраны окружающей среды администрации Константиновского района,,Ростовская область,Константиновский район,Нач.: Караваев Михаил Александрович,otd.sh.konst@yandex.ru,,"(86393) 6-02-84, 2-29-21, 2-14-07","347250, г. Константиновск, Карташова, 32"
Отдел сельского хозяйства и охраны окружающей среды администрации Красносулинского района,,Ростовская область,Красносулинский район,Нач.: Сухин Алексей Николаевич,,,"(86367) 5-28-55, 5-26-59, 5-21-51","346350, г. Красный Сулин, Первомайская, 2"
Отдел сельского хозяйства и охраны окружающей среды администрации Матвеево-Курганского района,,Ростовская область,Матвеево-Курганский район,Нач.: Василенко Сергей Иванович,,,"(86341) 3-16-67, 3-12-62, 3-12-62, 3-13-06, 3-19-05","346970, п. Матвеев Курган, Победы, 9"
