Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
Администрация Александровского муниципального округа Ставропольского края,,Ставропольский край,Александровский район,Глава: Щекин Александр Викторович,,,"(86557) 2-63-33, (86557) 2-73-04, (86557) 2-73-01","356300, с. Александровское, Карла Маркса, 58"
Администрация Андроповского муниципального округа Ставропольского края,,Ставропольский край,Андроповский район,Глава: Бобрышева Нина Анатольевна,,,"(86556) 6-22-12, 6-22-15","357070, с. Курсавка, Красная, 24"
Администрация Апанасенковского муниципального округа Ставропольского края,,Ставропольский край,Апанасенковский район,Глава: Климов Денис Анатольевич,,,"(86555) 5-13-01, 5-20-36","356720, с. Дивное, Советская, 17"
Администрация Арзгирского муниципального округа Ставропольского края,,Ставропольский край,Арзгирский район,Глава: Палагута Алексей Иванович,,,"(86560) 3-11-47, (86560) 3-13-67, 3-33-57","356570, с. Арзгир, Базалеева, 3"
Администрация Благодарненского городского округа Ставропольского края,,Ставропольский край,Благодарненский район,Глава: Теньков Александр Иванович,,,"(86549) 2-15-30, 5-14-30","356420, г. Благодарный, пл. Ленина, 1"
Администрация Буденновского муниципального округа Ставропольского края,,Ставропольский край,Буденновский район,Глава: Богданов Дмитрий Владимирович,,,"(86559) 7-21-71, (86559) 2-13-34, 7-14-42","356800, г. Буденновск, Октябрьская, 46"
Администрация Георгиевского городского округа Ставропольского края,,Ставропольский край,Георгиевский район,Глава: Зайцев Андрей Владимирович,,,"(87951) 2-30-50, 2-93-53","357820, г. Георгиевск, пл. Победы, 1"
Администрация Грачевского муниципального округа Ставропольского края,,Ставропольский край,Грачевский район,Глава: Филичкин Сергей Леонидович,,,"(86540) 4-00-80, 4-04-06, 4-15-45","356250, с. Грачевка, Ставропольская, 42"
Администрация Изобильненского муниципального округа Ставропольского края,,Ставропольский край,Изобильненский район,Глава: Коврыга Роман Анатольевич,,,"(86545) 2-42-53, 2-45-77, 2-25-71","356140, г. Изобильный, Ленина, 15"
Администрация Ипатовского муниципального округа Ставропольского края,,Ставропольский край,Ипатовский район,Глава: Шейкина Вера Николаевна,,,"(86542) 2-23-60, 5-68-90, 5-64-65","356630, г. Ипатово, Ленинградская, 80"
