Название,Описание,Регион,Город,Имя,Email,Сайт,Телефоны,Адрес
Администрация муниципального образования город Алексин,,Тульская область,Алексинский район,Глава: Фёдоров Павел Евгеньевич,adm.aleksin@tularegion.ru,"https://aleksin-r71.gosuslugi.ru/, https://aleksin-r71.gosuslugi.ru/","(48753) 4-32-70, (48753) 4-03-78","301367, г. Алексин, Героев-Алексинцев, 10"
Управление по работе с сельскими территориями МО город Алексин,,Тульская область,Алексинский район,Нач.: Селезнева Алла Михайловна,alla.selezneva@tularegion.org,"https://aleksin-r71.gosuslugi.ru/ofitsialno/struktura-munitsipalnogo-obrazovaniya/ispolnitelno-rasporyaditelnyy-organ-munitsipalnogo-obrazovaniya/strukturnye-podrazdeleniya/upravlenie-po-rabote-s-selskimi-territoriyami/, https://aleksin-r71.gosuslugi.ru/ofitsialno/struktura-munitsipalnogo-obrazovaniya/ispolnitelno-rasporyaditelnyy-organ-munitsipalnogo-obrazovaniya/strukturnye-podrazdeleniya/upravlenie-po-rabote-s-selskimi-territoriyami/",(48753) 4-11-54,"301367, г. Алексин, Героев-Алексинцев, 10, к. 104"
71_Алексинский_КФХ 001,рыбоводство пресноводное,Тульская область,Алексинский район,,,,8-915-788-6646,"301382, с. Гурово"
71_Алексинский_КФХ 002,"зерновые, зернобобовые, масличные, КРС (молочный)",Тульская область,Алексинский район,,,,8-920-271-8676,"301360, д. Ботня"
71_Алексинский_КФХ 003,травы на сено,Тульская область,Алексинский район,,,,8-962-279-6145,"301347, Хатманово"
71_Алексинский_КФХ 004,"пшеница, ячмень",Тульская область,Алексинский район,,,,8-920-746-1468,"301382, р.п. Новогуровский"
«Алексинский ГМЗ» ОАО («Алексинский городской молочный завод» ОАО),производство молока и молочной продукции,Тульская область,Алексинский район,Ген. дир.: Артемьева Надежда Ивановна,oao.agmz@gmail.com,,"(48753) 6-96-80, (48753) 6-96-82","301367, г. Алексин, Болотова, 16"
«Альфа-Фидс» ООО,"зерновые, кормовые травы",Тульская область,Алексинский район,Ген. дир.: Кузнецов Никита Михайлович,director@alfalfa.ru,,8-920-813-6827,"301361, г. Алексин, Ленина, 1 Б, оф. 304 а"
«Ботаник» ООО,"овощеводство (томаты, огурцы)",Тульская область,Алексинский район,Ген. дир.: Жмыхова Елена Викторовна,,,"(48753) 2-19-70, 2-19-51","301360, д. Ботня, Центральная, 2"
«НМЗ» ООО («Новогуровский молочный завод» ООО),производство молока и молочной продукции.,Тульская область,Алексинский район,Ген. дир.: Мавлиев Али Усманович,nmzmilkoff@yandex.ru,,8-977-894-3680,"301382, Алексинский р-н, р.п. Новогуровский, Мира, 9, эт. 2, офис 1"
